Date,Ticker,Tweet Count
11/1/2020,AAPL,1195
11/1/2020,AMZN,1270
11/1/2020,CRM,1508
11/1/2020,JPM,631
11/1/2020,MSFT,829
11/1/2020,PTON,262
11/1/2020,TSLA,1646
11/1/2020,ZM,6962
11/2/2020,AAPL,2657
11/2/2020,AMZN,2292
11/2/2020,CRM,2149
11/2/2020,JPM,829
11/2/2020,MSFT,1314
11/2/2020,PTON,305
11/2/2020,TSLA,2923
11/2/2020,ZM,6224
11/3/2020,AAPL,2048
11/3/2020,AMZN,1646
11/3/2020,CRM,2078
11/3/2020,JPM,1004
11/3/2020,MSFT,1328
11/3/2020,PTON,284
11/3/2020,TSLA,3455
11/3/2020,ZM,6184
11/4/2020,AAPL,1974
11/4/2020,AMZN,1898
11/4/2020,CRM,2143
11/4/2020,JPM,775
11/4/2020,MSFT,1231
11/4/2020,PTON,323
11/4/2020,TSLA,2484
11/4/2020,ZM,5534
11/5/2020,AAPL,2015
11/5/2020,AMZN,1627
11/5/2020,CRM,2252
11/5/2020,JPM,865
11/5/2020,MSFT,1383
11/5/2020,PTON,1166
11/5/2020,TSLA,2862
11/5/2020,ZM,5523
11/6/2020,AAPL,1564
11/6/2020,AMZN,1357
11/6/2020,CRM,1933
11/6/2020,JPM,593
11/6/2020,MSFT,1060
11/6/2020,PTON,889
11/6/2020,TSLA,2386
11/6/2020,ZM,5943
11/7/2020,AAPL,751
11/7/2020,AMZN,716
11/7/2020,CRM,1349
11/7/2020,JPM,460
11/7/2020,MSFT,740
11/7/2020,PTON,186
11/7/2020,TSLA,1315
11/7/2020,ZM,5007
11/8/2020,AAPL,800
11/8/2020,AMZN,695
11/8/2020,CRM,1444
11/8/2020,JPM,588
11/8/2020,MSFT,595
11/8/2020,PTON,201
11/8/2020,TSLA,1470
11/8/2020,ZM,5733
11/9/2020,AAPL,1992
11/9/2020,AMZN,2091
11/9/2020,CRM,2324
11/9/2020,JPM,1004
11/9/2020,MSFT,1028
11/9/2020,PTON,1763
11/9/2020,TSLA,3390
11/9/2020,ZM,8313
11/10/2020,AAPL,2455
11/10/2020,AMZN,1894
11/10/2020,CRM,2501
11/10/2020,JPM,777
11/10/2020,MSFT,1273
11/10/2020,PTON,1310
11/10/2020,TSLA,2824
11/10/2020,ZM,7193
11/11/2020,AAPL,2134
11/11/2020,AMZN,1486
11/11/2020,CRM,2233
11/11/2020,JPM,768
11/11/2020,MSFT,1254
11/11/2020,PTON,656
11/11/2020,TSLA,2758
11/11/2020,ZM,6799
11/12/2020,AAPL,2045
11/12/2020,AMZN,1597
11/12/2020,CRM,2498
11/12/2020,JPM,799
11/12/2020,MSFT,1251
11/12/2020,PTON,557
11/12/2020,TSLA,3065
11/12/2020,ZM,6491
11/13/2020,AAPL,1693
11/13/2020,AMZN,1519
11/13/2020,CRM,2111
11/13/2020,JPM,946
11/13/2020,MSFT,1089
11/13/2020,PTON,545
11/13/2020,TSLA,3523
11/13/2020,ZM,5996
11/14/2020,AAPL,677
11/14/2020,AMZN,759
11/14/2020,CRM,1234
11/14/2020,JPM,524
11/14/2020,MSFT,622
11/14/2020,PTON,250
11/14/2020,TSLA,1304
11/14/2020,ZM,5132
11/15/2020,AAPL,830
11/15/2020,AMZN,920
11/15/2020,CRM,1511
11/15/2020,JPM,516
11/15/2020,MSFT,632
11/15/2020,PTON,346
11/15/2020,TSLA,1479
11/15/2020,ZM,4938
11/16/2020,AAPL,1929
11/16/2020,AMZN,1562
11/16/2020,CRM,2428
11/16/2020,JPM,933
11/16/2020,MSFT,1105
11/16/2020,PTON,596
11/16/2020,TSLA,8991
11/16/2020,ZM,6085
11/17/2020,AAPL,1702
11/17/2020,AMZN,2768
11/17/2020,CRM,2452
11/17/2020,JPM,723
11/17/2020,MSFT,984
11/17/2020,PTON,299
11/17/2020,TSLA,7243
11/17/2020,ZM,5890
11/18/2020,AAPL,1963
11/18/2020,AMZN,1652
11/18/2020,CRM,2467
11/18/2020,JPM,789
11/18/2020,MSFT,1147
11/18/2020,PTON,488
11/18/2020,TSLA,9632
11/18/2020,ZM,6320
11/19/2020,AAPL,1763
11/19/2020,AMZN,1888
11/19/2020,CRM,2700
11/19/2020,JPM,887
11/19/2020,MSFT,1231
11/19/2020,PTON,569
11/19/2020,TSLA,7462
11/19/2020,ZM,5800
11/20/2020,AAPL,1572
11/20/2020,AMZN,1686
11/20/2020,CRM,2308
11/20/2020,JPM,956
11/20/2020,MSFT,1192
11/20/2020,PTON,742
11/20/2020,TSLA,4384
11/20/2020,ZM,5852
11/21/2020,AAPL,703
11/21/2020,AMZN,800
11/21/2020,CRM,1780
11/21/2020,JPM,509
11/21/2020,MSFT,623
11/21/2020,PTON,205
11/21/2020,TSLA,1909
11/21/2020,ZM,4698
11/22/2020,AAPL,785
11/22/2020,AMZN,891
11/22/2020,CRM,1807
11/22/2020,JPM,572
11/22/2020,MSFT,622
11/22/2020,PTON,247
11/22/2020,TSLA,1998
11/22/2020,ZM,4955
11/23/2020,AAPL,2141
11/23/2020,AMZN,1579
11/23/2020,CRM,2366
11/23/2020,JPM,640
11/23/2020,MSFT,1091
11/23/2020,PTON,492
11/23/2020,TSLA,7237
11/23/2020,ZM,4856
11/24/2020,AAPL,2210
11/24/2020,AMZN,1900
11/24/2020,CRM,2267
11/24/2020,JPM,840
11/24/2020,MSFT,1134
11/24/2020,PTON,435
11/24/2020,TSLA,8289
11/24/2020,ZM,4531
11/25/2020,AAPL,1710
11/25/2020,AMZN,2168
11/25/2020,CRM,3517
11/25/2020,JPM,659
11/25/2020,MSFT,1245
11/25/2020,PTON,296
11/25/2020,TSLA,6308
11/25/2020,ZM,5725
11/26/2020,AAPL,806
11/26/2020,AMZN,998
11/26/2020,CRM,2275
11/26/2020,JPM,568
11/26/2020,MSFT,910
11/26/2020,PTON,173
11/26/2020,TSLA,2535
11/26/2020,ZM,4131
11/27/2020,AAPL,1285
11/27/2020,AMZN,1538
11/27/2020,CRM,2039
11/27/2020,JPM,451
11/27/2020,MSFT,811
11/27/2020,PTON,265
11/27/2020,TSLA,5374
11/27/2020,ZM,5617
11/28/2020,AAPL,832
11/28/2020,AMZN,895
11/28/2020,CRM,1688
11/28/2020,JPM,389
11/28/2020,MSFT,488
11/28/2020,PTON,209
11/28/2020,TSLA,2319
11/28/2020,ZM,4417
11/29/2020,AAPL,1086
11/29/2020,AMZN,1010
11/29/2020,CRM,1860
11/29/2020,JPM,446
11/29/2020,MSFT,636
11/29/2020,PTON,219
11/29/2020,TSLA,2833
11/29/2020,ZM,5375
11/30/2020,AAPL,3519
11/30/2020,AMZN,1829
11/30/2020,CRM,2961
11/30/2020,JPM,825
11/30/2020,MSFT,1038
11/30/2020,PTON,642
11/30/2020,TSLA,7277
11/30/2020,ZM,7754
12/1/2020,AAPL,3172
12/1/2020,AMZN,3148
12/1/2020,CRM,5479
12/1/2020,JPM,1221
12/1/2020,MSFT,1910
12/1/2020,PTON,525
12/1/2020,TSLA,5990
12/1/2020,ZM,16347
12/2/2020,AAPL,2308
12/2/2020,AMZN,2284
12/2/2020,CRM,5654
12/2/2020,JPM,1397
12/2/2020,MSFT,1834
12/2/2020,PTON,535
12/2/2020,TSLA,6871
12/2/2020,ZM,21189
12/3/2020,AAPL,2055
12/3/2020,AMZN,1977
12/3/2020,CRM,4772
12/3/2020,JPM,1351
12/3/2020,MSFT,1799
12/3/2020,PTON,425
12/3/2020,TSLA,6578
12/3/2020,ZM,20387
12/4/2020,AAPL,1987
12/4/2020,AMZN,1857
12/4/2020,CRM,3983
12/4/2020,JPM,1359
12/4/2020,MSFT,1473
12/4/2020,PTON,317
12/4/2020,TSLA,4933
12/4/2020,ZM,19789
12/5/2020,AAPL,965
12/5/2020,AMZN,1109
12/5/2020,CRM,2843
12/5/2020,JPM,1166
12/5/2020,MSFT,1069
12/5/2020,PTON,215
12/5/2020,TSLA,3276
12/5/2020,ZM,20476
12/6/2020,AAPL,1078
12/6/2020,AMZN,1183
12/6/2020,CRM,2883
12/6/2020,JPM,1251
12/6/2020,MSFT,949
12/6/2020,PTON,230
12/6/2020,TSLA,3327
12/6/2020,ZM,22270
12/7/2020,AAPL,2331
12/7/2020,AMZN,1911
12/7/2020,CRM,3740
12/7/2020,JPM,1383
12/7/2020,MSFT,1651
12/7/2020,PTON,419
12/7/2020,TSLA,11038
12/7/2020,ZM,21736
12/8/2020,AAPL,3091
12/8/2020,AMZN,2208
12/8/2020,CRM,3423
12/8/2020,JPM,1513
12/8/2020,MSFT,1840
12/8/2020,PTON,798
12/8/2020,TSLA,11147
12/8/2020,ZM,22092
12/9/2020,AAPL,2749
12/9/2020,AMZN,2307
12/9/2020,CRM,3932
12/9/2020,JPM,2264
12/9/2020,MSFT,1743
12/9/2020,PTON,501
12/9/2020,TSLA,8766
12/9/2020,ZM,22415
12/10/2020,AAPL,1440
12/10/2020,AMZN,1502
12/10/2020,CRM,3004
12/10/2020,JPM,1181
12/10/2020,MSFT,974
12/10/2020,PTON,440
12/10/2020,TSLA,5742
12/10/2020,ZM,19680
